0,1,2,3,4,5,6
Sr. No.,College Code,College Name,District,Branch,Convenor seats,Fee Structure
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,CSE,6,48000
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,CSM,7,48000
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,ECE,6,48000
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,EEE,7,48000
5,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,MEC,7,48000
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CIV,6,82000
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSD,7,82000
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSE,20,82000
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSM,19,82000
10,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSO,7,82000
11,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,ECE,13,82000
12,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,EEE,7,82000
13,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,INF,6,"82,000"
14,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,MEC,7,"82,000"
15,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,CIV,3,"66,000"
16,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,CSE,13,"66,000"
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,ECE,7,"66,000"
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,EEE,6,"66,000"
19,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,MEC,7,"66,000"
20,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,CSE,3,"40,000"
21,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,EEE,1,"40,000"
22,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,MIN,3,"40,000"
23,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,CIV,6,"52,000"
24,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,CSE,7,"52,000"
25,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,ECE,3,"52,000"
26,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,EEE,7,"52,000"
27,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,MEC,6,"52,000"
28,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,MIN,7,"52,000"
29,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,CIV,13,"73,000"
30,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,CSE,20,"73,000"
31,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,ECE,13,"73,000"
32,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,EEE,13,"73,000"
33,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,MEC,7,"73,000"
34,ANRP,ANURAG PHARMACY COLLEGE,Suryapet,PHM,11,"65,000"
35,ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY,Hyderabad,PHM,10,"65,000"
36,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CIV,6,"57,000"
37,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CSE,7,"57,000"
38,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CSM,6,"57,000"
39,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,ECE,7,"57,000"
40,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,EEE,7,"57,000"
41,ARYA,ARYA COLLEGE OF PHARMACY,Sangareddy,PHM,11,"45,000"
42,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CIV,6,"50,000"
43,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CSE,7,"50,000"
44,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CSM,7,"50,000"
45,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,ECE,7,"50,000"
46,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,EEE,7,"50,000"
47,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,MEC,6,"50,000"
48,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,CSE,20,"60,000"
49,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,CSM,14,"60,000"
50,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,ECE,13,"60,000"
51,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,INF,6,"60,000"
52,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CIV,13,"72,000"
53,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CSE,26,"72,000"
54,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CSM,13,"72,000"
55,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,ECE,27,"72,000"
56,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,EEE,13,"72,000"
57,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,INF,13,"72,000"
58,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,MEC,7,"72,000"
59,AVHP,AVANTHI INST OF PHARMSCI,Ranga Reddy,PHM,11,"55,000"
60,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSD,6,"65,000"
61,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSE,20,"65,000"
62,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSM,7,"65,000"
63,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,ECE,13,"65,000"
64,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,EEE,6,"65,000"
65,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,MEC,7,"65,000"
66,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CIV,6,"78,000"
67,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSC,7,"78,000"
68,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSD,7,"78,000"
69,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSE,20,"78,000"
70,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSM,13,"78,000"
71,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,ECE,14,"78,000"
72,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,MEC,6,"78,000"
73,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CIV,13,"89,000"
74,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSD,6,"89,000"
75,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSE,27,"89,000"
76,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSM,13,"89,000"
77,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,ECE,26,"89,000"
78,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,EEE,7,"89,000"
79,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,INF,13,"89,000"
80,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,MEC,7,"89,000"
81,BIPS,BALAJI INST OF PHARM SCI,Warangal,PHM,11,"45,000"
82,BIPT,BHARAT SCHOOL OF PHARMACY,Ranga Reddy,PHM,11,"60,000"
83,BITL,BHARAT INSTITUTE OF TECHNOLOGY,Ranga Reddy,PHM,11,"60,000"
84,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CIV,13,"50,000"
85,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSE,20,"50,000"
86,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSM,6,"50,000"
87,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSO,7,"50,000"
88,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSW,6,"50,000"
89,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,ECE,20,"50,000"
90,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,EEE,13,"50,000"
91,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,MEC,7,"50,000"
92,BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,Hyderabad,PHM,8,"52,000"
93,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CIV,3,"50,400"
94,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CSE,7,"50,400"
95,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CSM,7,"50,400"
96,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,ECE,4,"50,400"
97,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,EEE,7,"50,400"
98,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,MEC,3,"50,400"
99,BOMP,BOMMA INST OF PHARMACY,Khammam,PHM,11,"50,400"
100,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,CIV,6,"75,000"
101,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,CSE,7,"75,000"
102,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,ECE,6,"75,000"
103,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,EEE,14,"75,000"
104,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,MEC,6,"75,000"
105,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,MIN,7,"75,000"
106,BPCP,BHASKAR PHARMACY COLLEGE,Ranga Reddy,PHM,7,"55,000"
107,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,CSE,13,"66,000"
108,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,ECE,20,"66,000"
109,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,EEE,6,"66,000"
110,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,INF,14,"66,000"
111,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CIV,6,"65,000"
112,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSD,7,"65,000"
113,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSE,20,"65,000"
114,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSN,6,"65,000"
115,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,ECE,13,"65,000"
116,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,EEE,7,"65,000"
117,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,MEC,7,"65,000"
118,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,PHM,11,"70,000"
119,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CIV,7,"65,000"
120,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CSC,7,"65,000"
121,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CSE,20,"65,000"
122,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CSM,6,"65,000"
123,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CSW,7,"65,000"
124,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,ECE,13,"65,000"
125,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,EEE,7,"65,000"
126,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,MEC,6,"65,000"
127,BRWN,BROWNS COLL OF PHARMACY,Khammam,PHM,11,"60,000"
128,BSKR,BHASKAR ENGINEERING COLLEGE,Ranga Reddy,AID,6,"44,000"
129,BSKR,BHASKAR ENGINEERING COLLEGE,Ranga Reddy,CSE,13,"44,000"
130,BSKR,BHASKAR ENGINEERING COLLEGE,Ranga Reddy,CSM,7,"44,000"
131,BSKR,BHASKAR ENGINEERING COLLEGE,Ranga Reddy,ECE,7,"44,000"
132,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,AID,6,"120,000"
133,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,BME,4,"120,000"
134,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CHE,7,"120,000"
135,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CIV,7,"120,000"
136,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CSB,6,"120,000"
137,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CSD,7,"120,000"
138,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CSE,33,"120,000"
139,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,CSM,6,"120,000"
140,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,ECE,27,"120,000"
141,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,EEE,13,"120,000"
142,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,INF,13,"120,000"
143,BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,Medak,MEC,13,"120,000"
144,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,Medchal,CSE,19,"90,000"
145,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,Medchal,CSM,7,"90,000"
146,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,Medchal,ECE,13,"90,000"
147,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,Medchal,EEE,7,"90,000"
148,BVRW,BVRIT COLLEGE OF ENGINEERING FOR WOMEN,Medchal,INF,13,"90,000"
149,CARE,CARE COLL OF PHARMACY,Warangal,PHM,7,"60,000"
150,CBCP,CHILKUR BALAJI COLLEGE OF PHARMACY,Ranga Reddy,PHM,7,"35,000"
151,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,AID,13,"134,000"
152,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,AIM,7,"134,000"
153,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,CHE,7,"134,000"
154,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,CIC,7,"134,000"
155,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,CIV,13,"134,000"
156,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,CSE,20,"134,000"
157,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,CSM,6,"134,000"
158,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,ECE,20,"134,000"
159,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,EEE,13,"134,000"
160,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,INF,20,"134,000"
161,CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,Ranga Reddy,MEC,13,"134,000"
162,CHET,SRI CHAITANYA TECHNICAL CAMPUS,Ranga Reddy,CIV,6,"55,000"
163,CHET,SRI CHAITANYA TECHNICAL CAMPUS,Ranga Reddy,CSE,14,"55,000"
164,CHET,SRI CHAITANYA TECHNICAL CAMPUS,Ranga Reddy,ECE,7,"55,000"
165,CHET,SRI CHAITANYA TECHNICAL CAMPUS,Ranga Reddy,EEE,7,"55,000"
166,CHET,SRI CHAITANYA TECHNICAL CAMPUS,Ranga Reddy,MEC,6,"55,000"
167,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,CIV,6,"55,000"
168,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,CSE,14,"55,000"
169,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,CSG,7,"55,000"
170,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,ECE,13,"55,000"
171,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,EEE,7,"55,000"
172,CHTN,SREE CHAITANYA COLLEGE OF ENGINEERING,Karimnagar,MEC,6,"55,000"
173,CHTP,SREE CHAITANYA INST OF PHARM SCI,Karimnagar,PHM,11,"45,000"
174,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,Karimnagar,AIM,6,"55,000"
175,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,Karimnagar,CSE,14,"55,000"
176,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,Karimnagar,ECE,14,"55,000"
177,CHTS,SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,Karimnagar,EEE,6,"55,000"
178,CIPH,CHAITANYA INST OF PHARM SCI,Hanmakonda,PHM,9,"55,000"
179,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,Jangaon,CIV,6,"57,000"
180,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,Jangaon,CSE,12,"57,000"
181,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,Jangaon,ECE,12,"57,000"
182,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,Jangaon,EEE,6,"57,000"
183,CJIT,CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,Jangaon,MEC,6,"57,000"
184,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,AIM,6,"80,000"
185,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,CSD,20,"80,000"
186,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,CSE,26,"80,000"
187,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,CSG,7,"80,000"
188,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,CSM,20,"80,000"
189,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,ECE,20,"80,000"
190,CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),Medchal,INF,13,"80,000"
191,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,AID,6,"100,000"
192,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,AIM,7,"100,000"
193,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,CIV,6,"100,000"
194,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,CSC,14,"100,000"
195,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,CSD,6,"100,000"
196,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,CSE,27,"100,000"
197,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,CSM,19,"100,000"
198,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,ECE,27,"100,000"
199,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,EEE,6,"100,000"
200,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,INF,7,"100,000"
201,CMRK,C M R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),Medchal,MEC,7,"100,000"
202,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,AID,6,"90,000"
203,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,AIM,7,"90,000"
204,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,CSD,20,"90,000"
205,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,CSE,26,"90,000"
206,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,CSM,20,"90,000"
207,CMRM,CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),Medchal,ECE,27,"90,000"
208,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,AID,6,"75,000"
209,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,CSC,7,"75,000"
210,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,CSD,13,"75,000"
211,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,CSE,26,"75,000"
212,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,CSM,20,"75,000"
213,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,ECE,27,"75,000"
214,CMRN,CMR ENGG COLLEGE (AUTONOMOUS),Medchal,INF,13,"75,000"
215,CMRP,C M R COLL OF PHARMACY,Medchal,PHM,11,"90,000"
216,CVMP,CVM COLLEGE OF PHARMACY,Karimnagar,PHM,11,"45,000"
217,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,AI,6,"125,000"
218,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,CHE,7,"125,000"
219,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,CIV,20,"125,000"
220,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,CSE,26,"125,000"
221,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,ECE,26,"125,000"
222,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,EEE,14,"125,000"
223,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,INF,19,"125,000"
224,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,MEC,27,"125,000"
225,CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),Medchal,PHM,11,"75,000"
226,DARE,DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,Khammam,CSE,3,"42,000"
227,DARE,DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,Khammam,CSM,6,"42,000"
228,DARE,DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,Khammam,ECE,4,"42,000"
229,DARE,DARIPALLY ANANTHA RAMULU COLLOF ENGGAND TECH,Khammam,EEE,3,"42,000"
230,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,CIV,12,"72,000"
231,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,CSE,9,"72,000"
232,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,ECE,9,"72,000"
233,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,EEE,6,"72,000"
234,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,EIE,4,"72,000"
235,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,INF,6,"72,000"
236,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,IPE,4,"72,000"
237,DCET,DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Hyderabad,MEC,12,"72,000"
238,DIPS,DHANVANTHARI INST OF PHARM SCI,Kothagudem,PHM,11,"52,000"
239,DNVP,DHANVANTHARI COLLEGE OF PHARM SCI,Mahabubnagar,PHM,7,"52,000"
240,DRKC,D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,Medchal,CIV,6,"45,000"
241,DRKC,D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,Medchal,CSC,7,"45,000"
242,DRKC,D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,Medchal,CSD,6,"45,000"
243,DRKC,D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,Medchal,CSE,20,"45,000"
